"142803";"Châtelains (Les)";"CRATZBORN Vero";"BLUE MONDAY PRODUCTIONS";2079688;"fiction";"2018"
"148395";"Choc du futur (Le)";"COLLIN Marc";"NEBO PRODUCTIONS ET THE PERFECT KISS FILMS";326400;"fiction";"2018"
"149104";"Choix d'Ali (Le)";"HAKKAR Amor";"SARAH FILMS";353875;"fiction";"2018"
"146692";"Ciel étoilé au-dessus de ma tête (Le)";"KLIPPER Ilan";"BATHYSPHÈRE PRODUCTIONS";209817;"fiction";"2018"
"148621";"Climax";"NOE Gaspard";"RECTANGLE PRODUCTIONS ET WILD BUNCH";2670358;"fiction";"2018"
"143956";"Coby";"SONDEREGGER Christian";"CIAOFILM";160377;"docu";"2018"
"146225";"Cold war";"PAWLIKOWSKI Pawel";"MK PRODUCTIONS";5090065;"fiction";"2018"
"146676";"Commando Breitner (Le)";"RAOUF DAFRI Abdel";"MOANA FILMS";4992796;"fiction";"2018"
"149013";"Comme un seul homme";"BELLION Eric";"LES FILMS DU CAP";340471;"docu";"2018"
"148643";"Comment j'ai rencontré ma mère";"PETIT Guillaume";"TIPASA PRODUCTION";276557;"docu";"2018"
"147063";"Continuer";"LAFOSSE Joachim";"LES FILMS DU WORSO";5796451;"fiction";"2018"
"148355";"Convoi exceptionnel";"BLIER Bertrand";"CURIOSA FILMS";4995717;"fiction";"2018"
"145824";"Cordillère des songes (La)";"GUZMAN Patricio";"ATACAMA PRODUCTIONS";1193231;"docu";"2018"
"147250";"Coulisses du pouvoir (Les)";"MOREH Dror";"LES FILMS DU POISSON";3514763;"docu";"2018"
"148994";"Cunningham aka Cunningham 3D";"KOVGAN Alla";"ARSAM INTERNATIONAL";2409505;"docu";"2018"
"146899";"Curiosa";"JEUNET Lou";"CURIOSA FILMS";3034499;"fiction";"2018"
"148597";"Daim (Le)";"DUPIEUX Quentin";"ATELIER DE PRODUCTION";3933875;"fiction";"2018"
"147347";"Dans la gueule du requin";"HAMON Emmanuel";"EPITHÈTE FILMS";3246352;"fiction";"2018"
"147629";"De nos frères blessés";"CISTERNE Hélier";"LES FILMS DU BÉLIER";6868555;"fiction";"2018"
"149236";"Debout sur la montagne";"BETBEDER Sébastien";"GLORIA FILMS ET LES FILMS DU PRINTEMPS";2081929;"fiction";"2018"
"149335";"Déguns (Les)";"DROUX Cyrille / ZIDI JUNIOR Claude";"FIRSTEP ET HYPER FOCAL";3250237;"fiction";"2018"
"147459";"Demain je traverse";"FARSI Sepideh";"CINÉ SUD PROMOTION";1114279;"fiction";"2018"
"148537";"Demons in paradise";"RATNAM Jude";"SISTER PRODUCTIONS";330475;"docu";"2018"
