Nom_commune,Code_postal,coordonnees_gps
DECINES CHARPIEU,69150,45.7717277447,4.96142704635
VAILLY SUR AISNE,2370,49.4108623288,3.52012059802
MONTANAY,69250,45.8771716527,4.86771013158
LA VALLEE AU BLE,2140,49.8571725081,3.794382858
PUSIGNAN,69330,45.7538862339,5.06707976453
VENEROLLES,2510,49.9903433031,3.63008652624
SOLAIZE,69360,45.6460641774,4.83749103665
VENIZEL,2200,49.3676425771,3.39248543249
TERNAY,69360,45.6055276798,4.80759320832
VEZILLY,2130,49.1874443601,3.68274149419
LYON 06,69006,45.7728507239,4.85207911437
LA VILLE AUX BOIS LES DIZY,2340,49.6626572968,3.98152083729
ABELCOURT,70300,47.7934014233,6.27774541889
LA VILLE AUX BOIS LES PONTAVERT,2160,49.4265972983,3.85108262844
ABONCOURT GESINCOURT,70500,47.7683562569,5.97257332225
VILLEQUIER AUMONT,2300,49.6606240148,3.19834244186
ADELANS ET LE VAL DE BITHAINE,70200,47.7061573284,6.39427632304
VILLERS HELON,2600,49.2649355463,3.26786134731
AILLONCOURT,70300,47.7571786627,6.38881331969
VOULPAIX,2140,49.8387507375,3.83266238617
AINVELLE,70800,47.8479400704,6.24391333161
VOYENNE,2250,49.7158793314,3.73841251024
AMBIEVILLERS,70210,47.9958871896,6.14035780584
WATIGNY,2830,49.9163639357,4.20040317785
ANCIER,70100,47.4440990959,5.63641501518
ARFEUILLES,3120,46.1431515084,3.74329110559
ANGIREY,70700,47.4548843773,5.77329895236
BARRAIS BUSSOLLES,3120,46.2837408507,3.69766013244
AROZ,70360,47.6138842426,6.00554228377
BILLEZOIS,3120,46.2094826701,3.57688265252
ARSANS,70100,47.3672852842,5.63154249443
BILLY,3260,46.2315363963,3.43994128747
ATHESANS ETROITEFONTAINE,70110,47.5942889134,6.51510882516
BRESNAY,3210,46.4335692397,3.24899330539
LA BARRE,70190,47.4076616681,6.17035977753
CESSET,3500,46.2993847548,3.19908944342
LA BASSE VAIVRE,70210,47.9478481115,6.05472696195
CHAPEAU,3340,46.4922208672,3.51548779612
BEAUJEU ST VALLIER PIERREJUX QUITTEUR,70100,47.4986137613,5.69348817129
LA CHAPELLE,3300,46.0889341496,3.5877712092
BEAUMOTTE AUBERTANS,70190,47.433936502,6.16129269067
LA CHAPELLE AUX CHASSES,3230,46.6598285232,3.53021703178
BELONCHAMP,70270,47.7735452568,6.60867151106
CHARMEIL,3110,46.1598815241,3.39334670689
BETONCOURT SUR MANCE,70500,47.8378409607,5.75511684653
CHATELPERRON,3220,46.3968658739,3.63313760873
BOUHANS LES MONTBOZON,70230,47.4858934785,6.28045727501
CHIRAT L EGLISE,3330,46.2460009301,3.03251610569
BROYE LES LOUPS ET VERFONTAINE,70100,47.4591753719,5.43034570007
CINDRE,3220,46.3230930256,3.55110289744
BUCEY LES GY,70700,47.4054642999,5.86034681333
COMMENTRY,3600,46.2787466852,2.74916734673
BUCEY LES TRAVES,70360,47.6291367702,5.98525127967
CONTIGNY,3500,46.3463711102,3.31483781041
CHAMBORNAY LES PIN,70150,47.3392690795,5.91122430181
COULANDON,3000,46.5546535461,3.24541387326
CHAMPLITTE,70600,47.6322292317,5.51329036822
COULANGES,3470,46.4751096526,3.86330653833
CHAMPLITTE,70600,47.6322292317,5.51329036822
CRECHY,3150,46.2696885601,3.42387984399
CHANTES,70360,47.6237829598,5.92693390957
CUSSET,3300,46.1377738304,3.48296708451
CINTREY,70120,47.7535156501,5.75205214351
DEUX CHAISES,3240,46.3749069193,3.04059198306
CLAIREGOUTTE,70200,47.6628053162,6.63860014681
DIOU,3290,46.5226236257,3.7367345302
CLANS,70000,47.5990510677,6.0303617469
DOMERAT,3410,46.3681510176,2.54346219645
COGNIERES,70230,47.4990115094,6.28635310536
DOYET,3170,46.3433946285,2.79161075003
COLOMBOTTE,70240,47.66356733,6.28784995728
ECHASSIERES,3330,46.1956641038,2.94596916837
CONFLANDEY,70170,47.732302519,6.03515771131
LA FERTE HAUTERIVE,3340,46.396159353,3.3355449517
CONFRACOURT,70120,47.6738636873,5.88867029246
FLEURIEL,3140,46.2870292399,3.16169451004
CORBENAY,70320,47.8958414477,6.33319148205
FRANCHESSE,3160,46.6436566411,3.03662004358
CORNOT,70120,47.6902160288,5.83898818583
GARNAT SUR ENGIEVRE,3230,46.6348166525,3.66797467464
COUTHENANS,70400,47.5901202306,6.72594262625
GENNETINES,3400,46.6296398798,3.40498318638
CREVENEY,70240,47.6806121755,6.29286368281
HURIEL,3380,46.3770986154,2.48198364823
CROMARY,70190,47.3651266059,6.06864570113
ISSERPENT,3120,46.1542955213,3.61825876933
DAMPIERRE LES CONFLANS,70800,47.8446617435,6.17930368282
LALIZOLLE,3450,46.1646303512,3.00825559496
DAMPVALLEY LES COLOMBE,70000,47.6250131042,6.24487061258
LAMAIDS,3380,46.3040091673,2.43816762566
DAMPVALLEY ST PANCRAS,70210,47.9127848555,6.20068326227
LANGY,3150,46.2728774328,3.46181153336
DENEVRE,70180,47.5557164652,5.64493853194
LAPRUGNE,3250,45.9937136705,3.76308018051
ECHENANS SOUS MONT VAUDOIS,70400,47.6045802669,6.76783910472
LAVAULT STE ANNE,3100,46.3086016059,2.60160340266
ECHENOZ LE SEC,70000,47.5278583109,6.12143583046
LENAX,3130,46.3039709752,3.83067027438
ESPRELS,70110,47.5427842228,6.35948828395
LETELON,3360,46.6563542672,2.59495618457
ESSERTENNE ET CECEY,70100,47.4004565715,5.46661383685
LIMOISE,3320,46.6841966516,3.05488887781
FAHY LES AUTREY,70100,47.5121531962,5.47718136994
LOUROUX BOURBONNAIS,3350,46.5340787528,2.8385482758
FLAGY,70000,47.7001482374,6.18628045346
LUSIGNY,3230,46.5717045071,3.48949898102
FLEUREY LES ST LOUP,70800,47.9236983038,6.29330075407
HAUT BOCAGE,3190,46.4928636302,2.65852361334
FONTENOIS LES MONTBOZON,70230,47.4882877067,6.23457965284
HAUT BOCAGE,3190,46.4928636302,2.65852361334
FOUCHECOURT,70160,47.7897792955,5.9864123843
MALICORNE,3600,46.3072678602,2.77027684739
FOUVENT ST ANDOCHE,70600,47.6505541505,5.6722095809
MARCENAT,3260,46.237174267,3.39703242692
FOUVENT ST ANDOCHE,70600,47.6505541505,5.6722095809
LE MAYET DE MONTAGNE,3250,46.0602181682,3.65546570851
FRAMONT,70600,47.5716187406,5.5798394253
MAZIRAT,3420,46.2185045574,2.55398563
GENEVREY,70240,47.7215124098,6.32711971667
MOLLES,3300,46.1150413617,3.55648495184
GEVIGNEY ET MERCEY,70500,47.794509649,5.94474334051
MONETAY SUR ALLIER,3500,46.3810175167,3.28932554471
HERICOURT,70400,47.5698613671,6.76517349246
MONTCOMBROUX LES MINES,3130,46.3606934499,3.72808957144
IGNY,70700,47.4821498978,5.75563674329
MONTVICQ,3170,46.315678912,2.82223124184
JONVELLE,70500,47.9286064746,5.91384412427
NOYANT D ALLIER,3210,46.4796760503,3.11878325467
JUSSEY,70500,47.8171454049,5.88977076116
LE PIN,3130,46.4222179747,3.88958660139
LANTENOT,70200,47.7550142375,6.50401420408
REUGNY,3190,46.458404964,2.61328894387
LA LANTERNE ET LES ARMONTS,70270,47.7866393321,6.52929225583
ROCLES,3240,46.4445146062,3.03677199137
LIEVANS,70240,47.6356797971,6.34783020976
ST BONNET DE FOUR,3390,46.314979417,2.90455342628
LOULANS VERCHAMP,70230,47.4450028639,6.20512225954
ST CLEMENT,3250,46.0577534847,3.7219179861
LURE,70200,47.6851664568,6.49651910322
ST ENNEMOND,3400,46.6808991637,3.40446807688
LYOFFANS,70200,47.6439821096,6.5885519049
ST FARGEOL,3420,46.1343424286,2.63071732014
MAGNIVRAY,70300,47.7814660016,6.4639195197
ST GENEST,3310,46.2634149323,2.60320533651
LES MAGNY,70110,47.5280243494,6.4414267438
ST GERMAIN DE SALLES,3140,46.1871001813,3.22053975584
MAILLEY ET CHAZELOT,70000,47.5301073689,6.05096098023
ST MARCEL EN MURAT,3390,46.3216708939,3.00484402977
LA MALACHERE,70190,47.455249731,6.07203936643
ST PALAIS,3370,46.4403223251,2.30568571701
MALBOUHANS,70200,47.7110423982,6.58099580275
ST PLAISIR,3160,46.6243818392,2.95587034653
MANTOCHE,70100,47.4262852629,5.52118852315
ST POURCAIN SUR BESBRE,3290,46.4817772858,3.64933142149
MELECEY,70110,47.5236383873,6.49028438138
ST POURCAIN SUR SIOULE,3500,46.3045094327,3.30537827054
MEURCOURT,70300,47.7660974032,6.23487689466
ST PRIEST D ANDELOT,3800,46.0765718864,3.15433929793
LA MONTAGNE,70310,47.9241751204,6.58996774592
STE THERENCE,3420,46.2433906142,2.57271161868
MONTCOURT,70500,47.9307650179,5.96259842933
ST VICTOR,3410,46.3882767935,2.60941319336
MONTJUSTIN ET VELOTTE,70110,47.6187013351,6.3745985909
TARGET,3140,46.2848407144,3.04794632227
VILLERS CHEMIN ET MONT LES ETRELLES,70700,47.4429990999,5.87604712509
THIEL SUR ACOLIN,3230,46.5311020411,3.57823760672
MONTUREUX ET PRANTIGNY,70100,47.5050359046,5.63005559923
TORTEZAIS,3430,46.4456252579,2.87340721419
LA ROCHE MOREY,70120,47.6947168026,5.75337268526
TREIGNAT,3380,46.3483905337,2.3521991874
NANTILLY,70100,47.4579304083,5.52873315252
TRETEAU,3220,46.3677104422,3.51996970707
NEUREY LES LA DEMIE,70000,47.5638711868,6.19561119742
TRONGET,3240,46.418633391,3.08862365583
LA NEUVELLE LES LURE,70200,47.7156316858,6.55341236985
USSEL D ALLIER,3140,46.2103626484,3.18945634007
NOROY LE BOURG,70000,47.6038475858,6.28890431672
VALIGNY,3360,46.7156221865,2.82039123195
ONAY,70100,47.3909626091,5.68585881387
VARENNES SUR ALLIER,3150,46.3170256578,3.40012828582
OPPENANS,70110,47.5826629253,6.38446372576
VAUMAS,3220,46.4484082735,3.6241176484
ORMENANS,70230,47.4583413569,6.21351762142
VICHY,3200,46.1300051383,3.42442081174
ORMOY,70500,47.8850612988,5.99402771513
VICQ,3450,46.1471274068,3.09596954152
PENNESIERES,70190,47.4957736463,6.09574918717
VIPLAIX,3370,46.461810965,2.36975422763
PESMES,70140,47.2915778298,5.57274698135
VOUSSAC,3140,46.3256833709,3.07336455653
POLAINCOURT ET CLAIREFONTAINE,70210,47.875259179,6.06625530496
BARCELONNETTE,4400,44.3785614205,6.65215089713
POMOY,70240,47.6592691879,6.34654369308
BARRAS,4380,44.1006575617,6.09850212835
LA PROISELIERE ET LANGLE,70310,47.8134343067,6.49157329461
BAYONS,4250,44.3249277264,6.17282537759
PURGEROT,70160,47.7492388888,5.99111141327
BAYONS,4250,44.3249277264,6.17282537759
QUENOCHE,70190,47.4644966479,6.10803014349
BEAUJEU,4420,44.2185950386,6.37119806932
RADDON ET CHAPENDU,70280,47.8553521671,6.4533442174
UBAYE SERRE PONCON,4340,44.4434662119,6.28924750363
RANZEVELLE,70500,47.9064629009,5.98377333342
CASTELLANE,4120,43.8449862174,6.49029842016
RAZE,70000,47.5810464367,6.00410324695
CASTELLET LES SAUSSES,4320,44.0403038573,6.73450900533
RECOLOGNE,70130,47.5821627991,5.77361697832
CERESTE,4280,43.8503161664,5.58976926214
LA ROCHELLE,70120,47.7523236949,5.72464823314
CHAMPTERCIER,4660,44.096935134,6.14456451427
ST BARTHELEMY,70270,47.7410393174,6.60409347666
CHATEAU ARNOUX ST AUBAN,4600,44.0854706133,5.99239535024
SAULNOT,70400,47.5703099756,6.62953525499
DAUPHIN,4300,43.8932434369,5.776452248
SCYE,70170,47.6584667551,6.0572353758
DEMANDOLX,4120,43.8698630954,6.57440592456
SENONCOURT,70160,47.8367830368,6.05857627249
DRAIX,4420,44.1299391525,6.37179977607
THEULEY,70120,47.6226401654,5.82022410565
ENTRAGES,4000,44.0379332734,6.26880026038
VADANS,70140,47.3519943594,5.57942602132
ENTREPIERRES,4200,44.1956537173,6.02224124199
LE VAL DE GOUHENANS,70200,47.6238998324,6.48703960291
ENTREVENNES,4700,43.9378972717,6.03380903148
VANDELANS,70190,47.3997867498,6.16016748513
FONTIENNE,4230,44.0068634181,5.79382501149
VANNE,70130,47.6047607958,5.84690959522
FORCALQUIER,4300,43.9599082374,5.7882827572
VARS,70600,47.5377653039,5.52005449376
MALIJAI,4510,44.0336660524,6.0504243737
VAUCHOUX,70170,47.6579709662,6.03308496328
MANOSQUE,4100,43.8354040831,5.79106654173
VAUVILLERS,70210,47.927696482,6.10999352598
MEAILLES,4240,44.0401459693,6.64532905257
VELLEFAUX,70000,47.5529035792,6.13885306049
MIRABEAU,4510,44.0562295958,6.08015931568
VELLEMOZ,70700,47.4766541807,5.79152233813
LES OMERGUES,4200,44.1527454808,5.5893705894
VENERE,70100,47.3587412355,5.6767085991
LA PALUD SUR VERDON,4120,43.796648297,6.32708874551
VILLEFRANCON,70700,47.4129035904,5.74249429132
PEIPIN,4200,44.1413026547,5.9437147381
VILLERS SUR SAULNOT,70400,47.5481669716,6.64791604275
MEOLANS REVEL,4340,44.3714312017,6.49846404885
VILORY,70240,47.7301466997,6.22337661531
RIEZ,4500,43.8284587474,6.08237819985
VOUHENANS,70200,47.6424367134,6.49403579676
LA ROBINE SUR GALABRE,4000,44.1927329945,6.23038435702
VY LE FERROUX,70130,47.5876286452,5.96724404567
LA ROBINE SUR GALABRE,4000,44.1927329945,6.23038435702
ALLEREY SUR SAONE,71350,46.9138309803,4.97484420794
LA ROBINE SUR GALABRE,4000,44.1927329945,6.23038435702
BAUDRIERES,71370,46.6659094039,5.00248487776
LA ROBINE SUR GALABRE,4000,44.1927329945,6.23038435702
BAUGY,71110,46.3075519171,4.03236080451
ROUGON,4120,43.7966594802,6.39318145128
BERZE LA VILLE,71960,46.3683212977,4.70227131172
ST JURS,4410,43.8990474204,6.19288088982
BISSY LA MACONNAISE,71260,46.4854125388,4.77572068002
ST MARTIN LES EAUX,4300,43.8719702944,5.74137178032
BISSY SOUS UXELLES,71460,46.5685167956,4.72714301912
SENEZ,4270,43.9224978199,6.36903371255
BLANZY,71450,46.7042568403,4.39315980341
TARTONNE,4330,44.0784663763,6.3839310068
BRESSE SUR GROSNE,71460,46.5946563977,4.72811970624
THOARD,4380,44.1473006003,6.12401298333
BURNAND,71460,46.6019325058,4.63373013891
UVERNET FOURS,4400,44.3191132083,6.67028443403
CHAINTRE,71570,46.2582470143,4.77030455349
VACHERES,4110,43.9467491617,5.63529437
CHANGY,71120,46.4121876754,4.2519227256
VALBELLE,4200,44.1371207692,5.87627669795
LA CHAPELLE DE BRAGNY,71240,46.6195852003,4.75996353083
LE VERNET,4140,44.2766068334,6.40297525512
LA CHAPELLE DE GUINCHAY,71570,46.2183395706,4.76075538674
VOLX,4130,43.8706676132,5.83153973779
LA CHAPELLE SOUS DUN,71800,46.2638539851,4.29882173643
ANCELLE,5260,44.6190703929,6.22962169969
